miRNA	log2(exp)>=0	log2(exp)>=1	log2(exp)>=2	log2(exp)>=3	log2(exp)>=4	log2(exp)>=5	log2(exp)>=6	log2(exp)>=7	log2(exp)>=8	log2(exp)>=9	V12
hsa-miR-488	167	165	159	129	35	2	0	0	0	0	3.4000814197915
hsa-miR-489	167	166	162	126	31	2	0	0	0	0	3.4212460962283
hsa-miR-490-3p	167	167	167	167	167	162	153	121	63	11	7.54507748594562
hsa-miR-490-5p	167	167	167	165	141	65	14	0	0	0	4.7958701987839
hsa-miR-491-3p	167	167	166	162	101	9	0	0	0	0	4.09616007075584
hsa-miR-491-5p	167	166	164	136	52	0	0	0	0	0	3.62391167100665
hsa-miR-492	167	167	166	142	78	13	0	0	0	0	3.9037519386255
hsa-miR-493	167	167	167	167	165	141	50	2	0	0	5.68326138958419
hsa-miR-494	165	161	161	161	161	160	158	152	137	101	8.83665970227346
hsa-miR-495	167	167	167	167	165	76	12	9	8	7	5.16122142305068
hsa-miR-496	167	167	167	167	167	167	154	67	2	0	6.78254771380954
hsa-miR-497	166	165	160	140	69	41	24	11	5	4	4.23654333862192
hsa-miR-498	167	167	156	119	21	2	2	2	0	0	3.32525706064558
hsa-miR-499-3p	167	167	164	140	61	4	0	0	0	0	3.67561335287293
hsa-miR-499-5p	167	167	167	164	131	26	1	0	0	0	4.38128732447874
hsa-miR-500+hsa-miR-501-5p	167	167	167	167	158	99	17	3	0	0	5.16434372066657
hsa-miR-501-3p	167	167	167	166	150	113	37	2	0	0	5.26844530955629
hsa-miR-503	167	167	163	158	132	64	13	0	0	0	4.64896864914884
hsa-miR-504	167	167	166	158	125	36	0	0	0	0	4.37372290448946
hsa-miR-505	167	167	167	158	132	59	20	3	0	0	4.73752243642648
hsa-miR-506	167	167	165	152	107	17	1	0	0	0	4.14732018766677
hsa-miR-507	167	167	165	157	94	9	1	0	0	0	4.0611813311642
hsa-miR-508-3p	167	167	165	144	76	11	1	1	0	0	3.85132662547968
hsa-miR-508-5p	167	167	167	167	154	106	54	14	5	0	5.48391983622821
hsa-miR-509-3-5p	166	157	131	59	3	0	0	0	0	0	2.57243546117177
hsa-miR-509-3p	167	167	167	167	165	155	138	110	68	28	7.5245021765961
hsa-miR-509-5p	167	167	167	163	106	18	1	0	0	0	4.22718679741005
hsa-miR-510	167	166	159	131	52	8	1	0	0	0	3.58571352551738
hsa-miR-511	166	165	150	86	19	0	0	0	0	0	3.03238464091596
hsa-miR-512-3p	167	164	151	91	15	2	0	0	0	0	3.03933148163628
hsa-miR-512-5p	167	167	167	163	97	12	1	1	1	1	4.15435868221056
hsa-miR-513a-3p	167	167	167	166	138	51	6	1	0	0	4.69353978670893
hsa-miR-513a-5p	165	165	160	146	57	3	0	0	0	0	3.69715163680027
hsa-miR-513b	167	167	165	147	102	38	10	5	0	0	4.30731135505844
hsa-miR-514	167	167	167	167	166	115	14	2	0	0	5.28230337838242
hsa-miR-515-3p	167	167	166	158	84	10	3	2	1	1	4.08215722037607
hsa-miR-515-5p	166	165	165	155	93	13	2	2	2	1	4.0634085711092
hsa-miR-516a-3p	167	167	167	167	167	153	58	0	0	0	5.78230059970873
hsa-miR-516a-5p	166	165	164	141	65	5	1	1	0	0	3.70376827528286
hsa-miR-516b	165	164	161	130	34	4	2	1	0	0	3.45030835138387
hsa-miR-517a	167	167	166	142	51	6	3	3	2	2	3.78293780063035
hsa-miR-517b	164	151	128	55	18	12	4	0	0	0	2.69635157603571
hsa-miR-517c+hsa-miR-519a	167	167	167	166	162	82	7	4	3	2	5.09346239729554
hsa-miR-518b	167	167	167	164	123	23	3	2	1	1	4.3819013047999
hsa-miR-518c	167	162	155	115	27	3	3	2	2	2	3.29302971272122
hsa-miR-518d-3p	167	167	167	167	130	24	0	0	0	0	4.38177615729198
hsa-miR-518e	167	167	167	160	109	22	1	1	0	0	4.29395595427655
hsa-miR-518f	103	42	42	41	37	29	17	3	0	0	1.37878265480884
hsa-miR-519b-3p	167	167	167	164	142	19	3	2	2	1	4.48635178742728
hsa-miR-519c-3p	167	162	140	68	11	1	0	0	0	0	2.75328723804025
hsa-miR-519d	167	164	157	124	27	2	1	0	0	0	3.33575895059039
hsa-miR-519e	166	166	164	145	77	13	1	0	0	0	3.89269294077242
hsa-miR-520a-3p	167	167	167	166	146	70	20	5	0	0	4.93272993367216
hsa-miR-520a-5p	167	167	165	157	99	19	4	2	2	1	4.16539548895755
hsa-miR-520b	167	167	166	154	80	12	2	0	0	0	3.99497112511541
hsa-miR-520c-3p	167	167	166	164	124	19	3	2	2	1	4.41105398531707
hsa-miR-520d-3p	165	164	158	129	47	2	1	0	0	0	3.49070872194373
hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p	167	167	167	167	167	167	158	46	1	0	6.72974354593082
hsa-miR-520e	167	167	167	167	165	160	132	79	14	1	6.75898491026474
hsa-miR-520f	167	167	167	163	132	31	3	2	0	0	4.48850340153748
hsa-miR-520g	167	167	165	153	87	8	3	2	2	1	4.06178120173483
hsa-miR-521	167	161	149	95	14	5	2	1	1	0	3.05264102338879
hsa-miR-522	167	167	167	163	101	14	3	2	2	1	4.17899257257617
hsa-miR-523	167	161	142	95	18	2	0	0	0	0	2.97685525035739
hsa-miR-524-3p	167	164	155	111	24	2	0	0	0	0	3.24122891038134
hsa-miR-525-3p	167	167	167	163	109	13	1	1	0	0	4.24194604963946
hsa-miR-525-5p	167	167	167	164	145	45	3	2	2	1	4.69026659408909
hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p	167	167	167	167	167	162	119	41	3	0	6.4484269215749
hsa-miR-526b	167	167	167	165	160	108	17	2	2	1	5.21855226827192
hsa-miR-532-3p	167	166	165	161	157	133	76	27	4	0	5.82529329003741
hsa-miR-532-5p	167	166	165	160	140	86	43	12	0	0	5.13591043151988
hsa-miR-539	167	167	167	167	167	167	159	58	0	0	6.81674364933308
hsa-miR-541	165	165	158	106	22	0	0	0	0	0	3.16937034282131
hsa-miR-542-3p	167	167	167	167	167	143	39	10	1	0	5.64970619940349
hsa-miR-542-5p	167	167	167	167	164	114	31	2	0	0	5.35371535763649
hsa-miR-543	167	165	161	134	44	12	9	8	7	2	3.75205636516437
hsa-miR-544	167	166	166	166	166	166	166	166	165	165	11.9146190040608
hsa-miR-545	167	167	164	152	74	8	0	0	0	0	3.92130841054246
hsa-miR-548a-3p	167	167	167	167	167	124	37	4	0	0	5.46977546275837
hsa-miR-548a-5p	167	167	167	167	167	167	164	113	34	1	7.39398422092846
hsa-miR-548b-3p	166	166	165	163	117	28	1	0	0	0	4.29338286694559
hsa-miR-548b-5p	167	164	160	106	19	0	0	0	0	0	3.17665717006116
hsa-miR-548c-5p	167	163	147	106	20	1	0	0	0	0	3.10081571983652
hsa-miR-548d-3p	167	167	167	165	153	57	8	0	0	0	4.76222756644918
hsa-miR-548d-5p	167	167	167	167	167	153	27	0	0	0	5.58004404490119
hsa-miR-548e	167	167	167	148	91	14	0	0	0	0	4.01082381610458
hsa-miR-548f	166	166	165	152	100	22	1	0	0	0	4.13764462452532
hsa-miR-548g	167	167	167	167	167	166	103	15	1	1	6.23063145756187
hsa-miR-548h	167	167	167	167	156	93	15	1	0	0	5.08667734249808
hsa-miR-548i	167	167	167	167	167	167	146	30	0	0	6.51226171106637
hsa-miR-548j	167	167	166	159	94	25	8	2	0	0	4.22237510419427
hsa-miR-548k	167	167	167	164	135	24	0	0	0	0	4.38727035393352
hsa-miR-548l	167	167	167	166	132	41	2	0	0	0	4.5561917114553
hsa-miR-548m	167	167	167	166	150	54	5	0	0	0	4.72784382632706
hsa-miR-548o	167	167	167	162	105	29	0	0	0	0	4.26505424597856
hsa-miR-548p	167	163	153	117	28	3	0	0	0	0	3.29032856547076
hsa-miR-548q	167	167	147	96	10	0	0	0	0	0	2.99574296208021
hsa-miR-549	167	167	164	139	37	0	0	0	0	0	3.56769003872461
hsa-miR-550	167	163	146	94	14	0	0	0	0	0	2.98814620251402
hsa-miR-551a	167	167	164	153	88	21	3	0	0	0	4.04952305323777
hsa-miR-551b	167	167	166	157	115	59	32	13	4	0	4.77694813936251
hsa-miR-553	167	166	161	138	67	12	0	0	0	0	3.7829246182185
hsa-miR-554	167	164	155	118	43	6	0	0	0	0	3.3616305235356
hsa-miR-555	167	167	167	165	119	18	0	0	0	0	4.32079869015464
hsa-miR-556-3p	167	164	160	122	24	0	0	0	0	0	3.31934598231384
hsa-miR-556-5p	167	167	167	164	130	33	1	0	0	0	4.46648459289831
hsa-miR-557	167	165	164	136	42	2	0	0	0	0	3.53434649642651
hsa-miR-558	167	167	161	151	75	1	0	0	0	0	3.79683777345886
hsa-miR-559	167	162	157	119	33	0	0	0	0	0	3.32990305377094
hsa-miR-561	167	167	167	167	167	167	145	22	0	0	6.49296650199757
hsa-miR-562	167	167	167	167	149	35	0	0	0	0	4.57646723553906
hsa-miR-563	167	167	156	121	17	0	0	0	0	0	3.28966086069969
hsa-miR-564	167	159	134	77	8	0	0	0	0	0	2.7842511745362
hsa-miR-566	167	167	167	167	164	72	4	0	0	0	4.94998869211544
hsa-miR-567	166	161	143	61	6	0	0	0	0	0	2.74105669568609
hsa-miR-568	167	165	149	102	20	0	0	0	0	0	3.07856011291748
hsa-miR-569	167	167	167	167	167	152	71	3	0	0	5.82190694158831
hsa-miR-570	167	167	167	167	166	152	46	0	0	0	5.62215169620883
hsa-miR-571	167	167	165	143	54	7	0	0	0	0	3.74568575745801
hsa-miR-572	167	167	167	167	155	52	3	0	0	0	4.7777002383296
hsa-miR-573	167	167	166	157	77	11	0	0	0	0	3.94922063243509
hsa-miR-574-3p	167	166	163	146	100	65	36	15	2	0	4.60818837459644
hsa-miR-574-5p	167	167	166	161	125	41	6	2	0	0	4.51357302462637
hsa-miR-576-3p	167	167	167	160	114	8	0	0	0	0	4.18526582021388
hsa-miR-576-5p	167	167	166	160	111	19	3	0	0	0	4.26262287546707
hsa-miR-577	167	167	167	166	153	70	11	2	0	0	4.89204540530622
hsa-miR-578	167	167	166	160	97	8	0	0	0	0	4.05764511412288
hsa-miR-579	161	157	156	156	153	147	139	106	45	8	6.85228495488482
hsa-miR-580	167	167	167	166	151	20	0	0	0	0	4.52271896246384
hsa-miR-581	167	167	165	153	70	2	0	0	0	0	3.81084770825766
hsa-miR-582-3p	167	167	165	160	106	21	0	0	0	0	4.19564680291115
hsa-miR-582-5p	167	167	167	165	146	67	24	12	6	1	5.00148623579903
hsa-miR-583	167	166	163	124	37	0	0	0	0	0	3.44196750902555
hsa-miR-584	167	167	167	167	164	98	9	0	0	0	5.1050585687064
hsa-miR-586	167	162	148	109	20	0	0	0	0	0	3.13717147709912
hsa-miR-587	167	167	161	130	41	0	0	0	0	0	3.49314559607174
hsa-miR-588	167	167	166	153	64	5	0	0	0	0	3.81960577978166
hsa-miR-589	167	167	167	166	127	14	0	0	0	0	4.36631440419761
hsa-miR-590-3p	167	167	167	165	157	103	26	3	0	0	5.20083732005125
hsa-miR-590-5p	163	163	163	163	163	162	160	157	154	130	9.37596697282409
hsa-miR-591	167	166	164	141	63	12	0	0	0	0	3.81526161968783
hsa-miR-592	167	167	167	166	162	109	31	6	2	0	5.33325934150279
hsa-miR-593	167	163	149	97	27	2	0	0	0	0	3.11406721615152
hsa-miR-595	167	167	166	165	122	40	1	0	0	0	4.48842819390223
hsa-miR-596	167	166	165	151	70	7	0	0	0	0	3.81831214164115
hsa-miR-597	167	167	161	133	50	2	0	0	0	0	3.57295377244537
hsa-miR-598	167	167	167	167	158	109	43	7	3	1	5.43213332915461
hsa-miR-599	167	166	166	155	85	5	0	0	0	0	3.91334571921166
hsa-miR-600	167	167	167	167	167	165	114	0	0	0	6.12410650004788
hsa-miR-601	167	167	167	165	138	18	0	0	0	0	4.40459242738907
hsa-miR-602	165	159	150	107	17	0	0	0	0	0	3.0958131774357
hsa-miR-603	103	28	26	23	22	22	17	8	3	1	1.02154713284359
hsa-miR-604	167	160	132	69	13	1	0	0	0	0	2.76498394066989
hsa-miR-605	167	166	160	130	28	0	0	0	0	0	3.4002556518225
hsa-miR-606	167	161	145	76	8	0	0	0	0	0	2.84615996088369
hsa-miR-607	167	167	166	148	66	5	0	0	0	0	3.79739871849717
hsa-miR-608	166	164	160	132	41	2	0	0	0	0	3.47877190769551
hsa-miR-609	166	166	158	130	34	1	0	0	0	0	3.42744672083716
hsa-miR-610	167	167	163	137	30	0	0	0	0	0	3.47293425920845
hsa-miR-611	166	164	155	104	5	0	0	0	0	0	3.08234673630104
hsa-miR-612	167	157	142	98	15	1	0	0	0	0	2.99848711301814
hsa-miR-613	167	167	167	164	84	9	0	0	0	0	4.04861498241565
hsa-miR-614	167	167	167	165	131	25	0	0	0	0	4.40282648168545
hsa-miR-615-3p	167	167	166	156	82	11	1	1	1	0	4.04368989852563
hsa-miR-615-5p	167	167	167	166	131	55	10	1	0	0	4.67613289130045
hsa-miR-616	167	167	167	156	96	12	0	0	0	0	4.1069627577082
hsa-miR-617	167	167	165	156	69	1	0	0	0	0	3.83278327687911
hsa-miR-619	167	167	167	165	119	43	6	0	0	0	4.42503981848352
hsa-miR-620	167	167	166	163	103	4	0	0	0	0	4.10487174968719
hsa-miR-622	167	167	165	145	53	2	0	0	0	0	3.68285710207317
hsa-miR-623	167	167	167	163	130	29	2	0	0	0	4.4197184247619
hsa-miR-624	167	167	161	105	28	3	0	0	0	0	3.29177787436472
hsa-miR-625	167	166	162	136	34	6	2	0	0	0	3.53757287148797
hsa-miR-626	167	167	167	167	167	153	41	3	0	0	5.67920222705622
hsa-miR-627	167	167	167	159	114	19	1	0	0	0	4.24715645873034
hsa-miR-628-5p	167	165	161	145	94	19	2	0	0	0	4.00212795334711
hsa-miR-629	167	167	166	164	159	102	20	4	0	0	5.16067558927617
hsa-miR-630	167	167	167	167	167	156	109	52	22	7	6.58501350097441
hsa-miR-631	167	167	167	161	139	52	14	2	2	0	4.7515330233575
hsa-miR-632	167	167	167	167	138	35	0	0	0	0	4.57083344038029
hsa-miR-633	167	167	167	166	152	76	28	10	2	0	5.07919823806275
hsa-miR-634	167	167	161	138	53	4	0	0	0	0	3.58816115941123
hsa-miR-635	167	167	167	159	103	11	0	0	0	0	4.13734953839287
hsa-miR-636	167	167	166	147	78	6	0	0	0	0	3.82376432402114
hsa-miR-637	167	167	165	143	35	1	0	0	0	0	3.57375946547862
hsa-miR-638	167	167	166	153	63	7	0	0	0	0	3.83921463624603
hsa-miR-639	167	167	166	162	99	14	0	0	0	0	4.17535302276084
hsa-miR-640	167	167	167	167	167	148	33	0	0	0	5.60739099392324
hsa-miR-641	167	167	167	167	167	161	57	1	0	0	5.79293529300756
hsa-miR-642	167	167	166	165	146	71	17	2	0	0	4.86313477446202
hsa-miR-643	167	166	166	154	105	45	6	1	0	0	4.36378567099597
hsa-miR-644	167	167	163	140	53	4	0	0	0	0	3.64768910635189
hsa-miR-645	167	167	163	144	62	3	0	0	0	0	3.74676167569118
hsa-miR-646	167	167	167	167	163	143	66	0	0	0	5.74289668466475
hsa-miR-647	167	167	167	157	57	3	0	0	0	0	3.79784908971484
hsa-miR-648	167	167	167	165	122	21	2	0	0	0	4.31138639425787
hsa-miR-649	167	167	167	164	127	49	0	0	0	0	4.53980537902609
hsa-miR-650	166	166	164	156	87	11	0	0	0	0	4.01634382210899
hsa-miR-651	167	167	167	167	167	167	113	7	0	0	6.19921656638186
hsa-miR-652	167	167	164	141	59	13	0	0	0	0	3.76360341176345
hsa-miR-653	167	167	167	164	138	76	26	17	5	3	5.06653097193479
hsa-miR-654-3p	167	167	167	167	163	120	8	0	0	0	5.25252321481028
hsa-miR-654-5p	167	166	166	158	86	7	0	0	0	0	3.98830330947065
hsa-miR-655	167	167	167	167	167	150	48	7	3	0	5.79051452674389
hsa-miR-656	167	167	167	167	148	44	8	3	0	0	4.72717950109423
hsa-miR-657	167	162	153	102	21	0	0	0	0	0	3.12291699992747
hsa-miR-658	167	166	163	143	54	10	2	0	0	0	3.69034273844506
hsa-miR-659	167	163	155	123	42	5	0	0	0	0	3.43650495453654
hsa-miR-660	167	167	167	166	161	144	92	32	3	0	6.0666082438784
hsa-miR-661	167	167	167	150	75	6	0	0	0	0	3.91501505495998
hsa-miR-662	167	167	165	157	68	2	0	0	0	0	3.83544902597862
hsa-miR-663	167	167	166	160	92	7	0	0	0	0	4.01003163470687
hsa-miR-663b	167	167	166	160	122	20	0	0	0	0	4.29127776284483
hsa-miR-664	100	10	4	4	4	2	2	0	0	0	0.277560978612197
hsa-miR-665	167	164	153	99	10	1	0	0	0	0	3.05538434139982
hsa-miR-668	167	167	167	159	88	7	0	0	0	0	4.02162916434869
hsa-miR-670	167	163	145	75	2	0	0	0	0	0	2.81297747558489
hsa-miR-671-3p	167	166	165	159	92	9	0	0	0	0	3.98281781416311
hsa-miR-671-5p	167	164	159	112	19	0	0	0	0	0	3.2185175138112
hsa-miR-675	167	162	157	142	68	8	0	0	0	0	3.72680664480217
hsa-miR-7	167	166	161	148	75	25	8	4	2	1	4.06060852537362
hsa-miR-708	167	167	167	167	167	167	164	71	23	11	7.15973754832654
hsa-miR-711	162	150	108	35	0	0	0	0	0	0	2.21593771851802
hsa-miR-718	167	167	167	158	109	12	0	0	0	0	4.19146705767508
hsa-miR-744	118	60	58	56	45	28	11	0	0	0	1.79197404760199
hsa-miR-758	167	167	166	157	103	25	2	0	0	0	4.2273106480542
hsa-miR-759	167	167	167	165	118	29	0	0	0	0	4.35194030113337
hsa-miR-760	167	167	165	152	94	21	4	0	0	0	4.05476587436494
hsa-miR-761	165	161	128	47	3	0	0	0	0	0	2.53327179502236
hsa-miR-762	167	167	161	137	68	15	2	0	0	0	3.82230966808799
hsa-miR-764	167	167	167	163	123	21	0	0	0	0	4.29076821703413
hsa-miR-765	167	166	158	130	35	0	0	0	0	0	3.40944678752957
hsa-miR-766	167	167	167	166	161	146	90	40	18	3	6.20939238048306
hsa-miR-767-3p	167	167	162	149	78	18	2	0	0	0	3.97554379033819
hsa-miR-767-5p	167	167	167	167	138	45	8	3	1	0	4.66520287790856
hsa-miR-769-3p	167	167	164	155	107	23	0	0	0	0	4.1985429011412
hsa-miR-769-5p	167	167	167	167	166	127	42	5	0	0	5.55552770288433
hsa-miR-770-5p	167	167	166	163	123	30	1	0	0	0	4.37724065412651
hsa-miR-802	167	167	167	166	113	22	0	0	0	0	4.26192809607994
hsa-miR-873	167	167	167	167	133	64	12	1	0	0	4.72203528992309
hsa-miR-874	167	167	166	157	109	26	2	0	0	0	4.28975824235679
hsa-miR-875-3p	167	165	149	94	11	0	0	0	0	0	3.0165617001917
hsa-miR-875-5p	167	167	167	164	151	104	34	9	0	0	5.28436086792288
hsa-miR-876-3p	167	167	166	159	83	22	1	0	0	0	4.1089327808411
hsa-miR-876-5p	167	167	167	165	125	23	1	0	0	0	4.38668158116594
hsa-miR-877	167	166	160	132	41	2	0	0	0	0	3.51391260930461
hsa-miR-885-3p	167	163	144	73	9	0	0	0	0	0	2.81328947849265
hsa-miR-885-5p	167	167	165	138	49	13	6	4	3	1	3.76827055900273
hsa-miR-887	167	167	167	154	62	3	0	0	0	0	3.80766543081571
hsa-miR-888	167	167	166	146	39	1	1	0	0	0	3.65326673890919
hsa-miR-889	167	167	162	140	68	20	8	6	2	0	3.89063284660077
hsa-miR-890	167	167	166	157	124	59	25	11	3	0	4.7454667185763
hsa-miR-891a	167	167	164	161	126	46	6	2	1	0	4.56375756643748
hsa-miR-891b	167	167	167	165	140	32	2	1	0	0	4.51691978438476
hsa-miR-892a	165	163	155	123	26	0	0	0	0	0	3.29750828403038
hsa-miR-892b	167	167	166	165	148	49	5	0	0	0	4.69241061187684
hsa-miR-9	167	167	167	166	147	135	125	111	84	60	7.73993818303031
hsa-miR-921	167	161	137	65	2	0	0	0	0	0	2.69167647495462
hsa-miR-922	167	166	163	147	54	6	0	0	0	0	3.68460429037183
hsa-miR-924	167	167	161	137	39	1	0	0	0	0	3.49241331420637
hsa-miR-92a	167	167	167	167	167	167	167	167	167	167	13.1704084642136
hsa-miR-92b	167	167	167	167	167	162	139	99	46	8	7.22422248030371
hsa-miR-93	167	167	167	167	167	166	166	160	145	106	9.34643660535005
hsa-miR-933	167	166	157	128	38	6	0	0	0	0	3.48840475169772
hsa-miR-934	167	167	167	167	166	91	11	1	1	1	5.13388011881843
hsa-miR-935	167	167	157	121	34	0	0	0	0	0	3.36672373459548
hsa-miR-936	167	163	156	99	16	0	0	0	0	0	3.09342996163452
hsa-miR-937	167	167	165	153	71	8	0	0	0	0	3.92700444612298
hsa-miR-938	167	167	161	133	51	8	0	0	0	0	3.60164338049018
hsa-miR-939	165	158	141	79	13	0	0	0	0	0	2.82518290086892
hsa-miR-943	167	167	167	167	160	113	32	4	0	0	5.34683012345886
hsa-miR-944	166	162	137	75	18	2	0	0	0	0	2.87544273639264
hsa-miR-95	167	167	162	123	53	24	10	4	1	0	3.79350874624419
hsa-miR-96	167	167	167	167	167	167	167	162	137	93	9.29247979819431
hsa-miR-98	167	167	167	167	165	155	125	91	59	35	7.37468341386302
hsa-miR-99a	167	167	167	167	163	118	87	69	48	34	6.71170589743757
hsa-miR-99b	167	167	167	163	127	78	61	50	39	26	5.84233034254666
